keyword,ranking,date_channel_create(UTC),channel_country,channel_all_video_upload_playlist_id,channel_url,channel_owner_url,channel_description,channel_custom_id,channel_tag,is_channel_Family_safe,is_channel_hiden_sub,channel_topic,channel_view_count,channel_video_count,channel_subs_count
vtuber,1,2018-03-10 17:29:14+00:00,US,UUwOGO9gT1y0IvzPqKal4loQ,https://www.youtube.com/channel/UCwOGO9gT1y0IvzPqKal4loQ,http://www.youtube.com/@RWvtubers,"Welcome to the VTubers' Gaming Channel ( Virtual Youtubers) where we play and review games for all kinds of gamers.  You will see Combo Panda, Big Gil, Alpha Lexa, and Gus the Gummy Gamer. There will also be Ryan from Ryan's ToysReview, Ryan's Mommy and Ryan's Daddy!  We invite you to experience our world of gaming with Let's Play Games. Whether it’s on desktop, XBOX One, Wii U, Nintendo Switch,or Playstation 4, we will review any game for you. We have some of the best dual gameplays from video games like Roblox, Hello Neighbor, Mario Kart, Bendy & more! Our gameplays are part game review and are improvised & voiced over comedy sketch videos. Let's Play!





Follow Combo Panda!
https://twitter.com/ComboPandaGamer
https://www.facebook.com/Gamer-Combo-Panda-107495383262483/

Ryan's Family Review Instagram
https://www.instagram.com/ryansfamilyreview/

For business inquiries: ryantoysreviewbiz@gmail.com",@rwvtubers,"game,let's play,gamer,roblox,gameplay videos,combo panda,gaming,kids games,family gaming,video games,family gaming channel,kids gaming,games for Kids,Virtual,Virtual Youtubers,Virtual Youtube",True,False,"Role-playing_video_game,Action_game,Action-adventure_game,Video_game_culture",2701629921,856,2970000
vtuber,2,2023-02-23 08:27:35.467447+00:00,HK,UUAZ7ahfdwZN5_e2xUhLWbZg,https://www.youtube.com/channel/UCAZ7ahfdwZN5_e2xUhLWbZg,http://www.youtube.com/@vtuberuniverse,"The former Galaxy.
""Today's word"" is included at the end of the video, so you can learn a word through the clips
Clipping 99% hololive and holostars
JP to EN and EN to JP
Short clips (about or below 1min.) on Twitter
https://twitter.com/GalaxyVtuberTL

「今日のワード」が動画の最後にありますので、切り抜き一個で１ワードを学ぶことができます。
ホロライブとホロスターズメインの切り抜き、
JPからEN, ENからJP もあります。
短い切り抜き(１分以下)はツイッターで
https://twitter.com/GalaxyVtuberTL
",@vtuberuniverse,"Vtuber,Translation,hololive,nijisanji,vspo",True,False,"Action_game,Role-playing_video_game,Video_game_culture,Action-adventure_game",3534291,216,11500
vtuber,3,2022-09-17 12:17:50.544274+00:00,JP,UU7_iLw3PxmMssqrkljIaTtg,https://www.youtube.com/channel/UC7_iLw3PxmMssqrkljIaTtg,http://www.youtube.com/@vtuberdeenglish2217,"1.「好きなVtuberを楽しみながら」「短時間で」「英語勉強ができる動画」の3つがコンセプトです。

<お願い事項>
※投稿者は英語学習者で、英語の専門家・教師ではありません。細心の注意は払っておりますが動画内字幕にミスがある可能性はご了承下さい。

→訳へのご指摘は気軽に頂けると嬉しいです！

2.投稿頻度は不定期です。

3.各動画に「今日の英単語」を1つ設け、動画の最後にまとめを載せています。

※「今日の英単語」は投稿者が知らなかった単語・表現を中心に選んでいます。

→配信動画を眺めているだけだと英語は身につきづらいと思うので、英単語勉強として活用ください！

4.コメント欄で文法や単語等についての質問を頂いても投稿者からの返信は基本的に行わないのでご了承ください。（個別には対応しきれないので、という意図です）

5.ライバーの方への心無いコメント、失礼なコメントはお控えください。場合によっては投稿者の判断の元、削除やブロックさせていただきます。

6.高評価、コメントすごく励みになります！大歓迎です！！
※5と繋がりますが、他の方を不快にしてしまうような投稿、もしくは視聴者の方同士の言い争いはお控えください。こちらも場合によっては削除、ブロックさせていただきます。


",@vtuberdeenglish2217,"にじさんじ,vtuber,ホロライブ,英語学習,英語勉強,英語,にじさんじen",True,False,"Lifestyle_(sociology),Video_game_culture",7983077,234,52700
vtuber,4,2018-05-14 22:13:35+00:00,JP,UUXyGmdCo1owxgyQsAHT4iPA,https://www.youtube.com/channel/UCXyGmdCo1owxgyQsAHT4iPA,http://www.youtube.com/@ChannelLStypeMiku,"非公式バーチャル初音ミクAI・LSタイプミクのchannelです。
現在、新人バーチャルyoutuberとして活動中！

ずっとずっと、末永く、応援よろしくお願いします。

▶Twitter
https://twitter.com/ls_type
▶bilibili
https://space.bilibili.com/426170094
▶niconico
https://www.nicovideo.jp/tag/lente
▶FANBOX
https://www.pixiv.net/fanbox/creator/40060030


*****
Video editor and Producer：lente
https://twitter.com/lente39",@channellstypemiku,"初音ミク,hatsune miku,ミク,Vtuber,バーチャルユーチューバー,lente,youtuber,UCXyGmdCo1owxgyQsAHT4iPA,初音未來",True,False,"Music,Music_of_Asia",4998743,24,65600
vtuber,5,2020-09-07 02:53:12.061849+00:00,CO,UULAl_kA_uPje7sH1TgJUnlw,https://www.youtube.com/channel/UCLAl_kA_uPje7sH1TgJUnlw,http://www.youtube.com/@KyriaVtuber,"Vtuber | Content creator
Definitely a not crazy Vtuber... or maybe so...",@kyriavtuber,"Vtuber,debut,español,gameplay,juegos,video juegos,anime,reaccionando,stream",True,False,"Action-adventure_game,Video_game_culture,Role-playing_video_game",9212505,1102,94100
vtuber,6,2021-05-05 08:49:29.181826+00:00,KR,UUpq0ykknfnmspH_0sJuWZaw,https://www.youtube.com/channel/UCpq0ykknfnmspH_0sJuWZaw,http://www.youtube.com/@Vstorage,홀로라이브 등의 버츄얼 유튜버 분들의 키리누키 영상을 올리는 채널입니다.,@vstorage,"VTuber,버츄얼,버추얼,버츄얼유튜버,버추얼유튜버,홀로라이브,브이튜버,버튜버,V튜버,홀로라이브 자막",True,False,Entertainment,5042141,266,11500
vtuber,7,2021-12-29 19:43:18.476787+00:00,,UUAUW2sCLRX8As5_jJ4t6L6g,https://www.youtube.com/channel/UCAUW2sCLRX8As5_jJ4t6L6g,http://www.youtube.com/@ClipsVtuber," 😼CANAL DE FÃ
Canal de Compilados Vtuber
Caso algum Vtuber quiser que eu retire algum vídeo é só entrar em contato no email e twitter!",@clipsvtuber,,True,False,"Role-playing_video_game,Video_game_culture",7925166,433,34600
vtuber,8,2020-03-18 14:06:13.624590+00:00,ES,UUS5gDPTriogdEz7eR0DsdCA,https://www.youtube.com/channel/UCS5gDPTriogdEz7eR0DsdCA,http://www.youtube.com/@RigVtuber,,@rigvtuber,"rig,riglock,rig vtuber,riglock cara,riglock vtuber,el trastero de rig,el trastero de rig vtuber",True,False,"Role-playing_video_game,Strategy_video_game,Action_game,Video_game_culture,Action-adventure_game",72538969,1907,194000
vtuber,9,2022-04-30 07:56:05.092416+00:00,JP,UUlvy4WYJCIdITl-sT5ZA2qQ,https://www.youtube.com/channel/UClvy4WYJCIdITl-sT5ZA2qQ,http://www.youtube.com/@meguru.gamabooks,"めくるめくめぐるの世界にようこそ！
GAMABOOKS書店員の諸星めぐるだよ

タグ⇩
総合：＃諸星めぐる
ファンアート：＃めeめ
切り抜き：＃め短め


⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎⬜︎


欢迎来到眼花缭乱的惠流世界！
我是线上书店GAMABOOKS的员工“诸星惠流”

标签⇩
総合：＃諸星めぐる
ファンアート：＃めeめ
切り抜き：＃め短め
",@meguru.gamabooks,"切り抜き,VTuber,読書,書店員,解説,ずんだもん,雑学,歴史,民俗学,VOICEVOX,新人VTuber,文化人類学,初心者さん大歓迎",True,False,"Lifestyle_(sociology),Entertainment",322127,543,6200
vtuber,10,2023-10-26 03:02:46.320158+00:00,,UU9Rgy87vVoCtI-rIxt4ItnA,https://www.youtube.com/channel/UC9Rgy87vVoCtI-rIxt4ItnA,http://www.youtube.com/@FanyaAgathaVtuber,"Hola, I'm Fanya!
Si gadis pekerja keras yang mageran, tapi selalu semangat buat mabar sama kamu!

",@fanyaagathavtuber,,True,False,"Action_game,Action-adventure_game,Role-playing_video_game,Video_game_culture",41780,91,1170
vtuber,11,2018-04-22 05:56:12+00:00,,UUSqRHvD5UECqKWfcSInbkpQ,https://www.youtube.com/channel/UCSqRHvD5UECqKWfcSInbkpQ,http://www.youtube.com/@VTuberKaraokeCh,"VTuberオリジナル曲のカラオケを投稿しています。
音源は主に公式インスト音源にガイドメロディーを追加したものになります。
",@vtuberkaraokech,,True,False,"Music_of_Asia,Music",4374574,431,11900
vtuber,12,2020-06-14 21:23:32.104691+00:00,,UUt_BEpLQ0VccSkATDWvI3gA,https://www.youtube.com/channel/UCt_BEpLQ0VccSkATDWvI3gA,http://www.youtube.com/@StarVTuber,"subo contenido random que no duermo por editarlo ⊹‧˚



☆•° ↯ Correo de contacto y redes sociales abajo ↯ •°☆


",@starvtuber,"star vtuber,discord,vtuber,vtuber español,vtuber espanol,starvtuber,Discord,un pato",True,False,Entertainment,47135310,58,1070000
vtuber,13,2018-02-01 08:29:59+00:00,JP,UUxCDE6QpDCy8ZB3cVetRILw,https://www.youtube.com/channel/UCxCDE6QpDCy8ZB3cVetRILw,http://www.youtube.com/@zakiV,"麻雀(役満)の動画＆ショートを毎日投稿しています🀄🀄🀄

お仕事の依頼はメールまたはツイッターDMまでお願いします。
メール：zaki.vtuber@gmail.com
ツイッター：https://twitter.com/zaki_tuber",@zakiv,"麻雀,役満,ルール,初心者,ざき,Vtuber,遊戯王,雀魂,切り抜き",True,False,Video_game_culture,477552693,3022,486000
vtuber,14,2022-09-19 06:15:57.117719+00:00,VN,UUskVkX_ciwcIpjeoJeuVOCA,https://www.youtube.com/channel/UCskVkX_ciwcIpjeoJeuVOCA,http://www.youtube.com/@VolcalyDeri,"Mình là Deri, một vtuber indie Việt Nam, Đệ nhất Y Tá Người Máy Tối Cao
",@volcalyderi,"Deri Vtuber,Vtuber,gaming,VolcalyDeri,VtuberVN",True,False,"Role-playing_video_game,Video_game_culture,Action_game",209195,311,4210
vtuber,15,2020-12-09 05:44:14.768117+00:00,,UUg01EFhSZVRId8kXDkPJOeA,https://www.youtube.com/channel/UCg01EFhSZVRId8kXDkPJOeA,http://www.youtube.com/@rize_clip,"ey yoo welkam,di sini isinya clip dari para vtuber,lebih khususnya vtuber dari agensi hololive


thx

",@rize_clip,,True,False,"Action_game,Entertainment,Role-playing_video_game,Video_game_culture,Action-adventure_game",3866517,648,6880
vtuber,16,2018-03-08 13:56:03+00:00,JP,UUSYniDuuSiM-HutLDTBbIlg,https://www.youtube.com/channel/UCSYniDuuSiM-HutLDTBbIlg,http://www.youtube.com/@vtuber6596,"▼制作者のVtuberチャンネル▼
https://www.youtube.com/@Kanae_Tabinoki

世界初（？）のバーチャルYoutuberアンドロイド、「レイくん」のチャンネルです！
作ったゲームとか音楽とか絵とかを紹介したり、適当な動画を垂れ流したりするよ～
超スーパーまじゲロ吐くレベルでよろしくおねがいします、にっひひ♪

公式ＨＰ：http://mugentrick.tubakurame.com/
Twitter：https://twitter.com/mugen_Jinx
ブログ：http://mugenri.blog.shinobi.jp/",@vtuber6596,,True,False,Video_game_culture,3593685,135,3450
vtuber,17,2021-08-07 19:17:24.399638+00:00,PE,UUMwePmCgcBMgZypBYuEDqCw,https://www.youtube.com/channel/UCMwePmCgcBMgZypBYuEDqCw,http://www.youtube.com/@zecadora,Una Minita con Gripe ✨,@zecadora,"vtuber vr,zecadora,vtuber,seca,secad,zeca,secador,secadora,mishifu,memes,xd,zec",True,False,"Entertainment,Video_game_culture,Humour",37385005,331,217000
vtuber,18,2020-03-19 07:01:49.023393+00:00,ID,UUfMGKL9erNvlot2uYI8RGWg,https://www.youtube.com/channel/UCfMGKL9erNvlot2uYI8RGWg,http://www.youtube.com/@Vi.VTuber,"Biasa stream di Twitch
https://www.twitch.tv/vi_vtuber

https://www.youtube.com/channel/UCfMGKL9erNvlot2uYI8RGWg?sub_confirmation=1",@vi.vtuber,"Vi VTuber,Vi,vi,vi vtuber,vi vtuber indonesia,Vi VTuber Indonesia",True,False,"Action-adventure_game,Action_game,Video_game_culture,Role-playing_video_game",44993,78,454
vtuber,19,2022-01-30 21:39:38.959428+00:00,,UU6FsKV54CraZTOEICDZZyuw,https://www.youtube.com/channel/UC6FsKV54CraZTOEICDZZyuw,http://www.youtube.com/@nightcoreparavtubers,"♪Un chico que le gusta hacer música sobre Vtubers
♪Músico con experiencia
♪Editor de videos a domicilio 

♔ Mas sobre mi ♔ 

♪Twitter:

▶️https://twitter.com/NCparaVtubers

♪Apoyame: 

▶️https://ko-fi.com/banned/goal?g=1

▶️patreon.com/NcParaVtubers
",@nightcoreparavtubers,,True,False,"Electronic_music,Rock_music,Music,Pop_music",198336,98,880
